# Solution: Finding Numbers Where $s_2(n) = \sqrt{s_4(n)}$

## Step 1: Set up the constraint equation

We need: $s_2(n) = \sqrt{s_4(n)}$

Let $a = s_2(n)$. Then we need $s_4(n) = a^2$.

## Step 2: Determine the range of possible values for $a$

For $n < 1000$:
- $999 = 1111100111_2$ has $s_2(999) = 8$
- Therefore $a \in \{1, 2, 3, 4, 5, 6, 7, 8\}$

## Step 3: Find the constraint on $s_4(n)$

For $n < 1000$:
- $999 = 33213_4$ has $s_4(999) = 3+3+2+1+3 = 12$
- We need $s_4(n) = a^2 \leq 12$
- This gives $a \in \{1, 2, 3\}$ only

**Valid cases:**
- $a=1$: $s_2(n)=1, s_4(n)=1$
- $a=2$: $s_2(n)=2, s_4(n)=4$
- $a=3$: $s_2(n)=3, s_4(n)=9$

## Step 4: Enumerate and verify candidates

### Case $a=1$: $s_2(n)=1, s_4(n)=1$

Numbers with exactly one '1' bit: $n = 2^k$ for $k = 0,1,\ldots,9$

| $n$ | Binary | $s_2(n)$ | Quaternary | $s_4(n)$ | Valid? |
|-----|--------|----------|-----------|----------|--------|
| 1 | 1 | 1 | 1 | 1 | ✓ |
| 2 | 10 | 1 | 2 | 2 | ✗ |
| 4 | 100 | 1 | 10 | 1 | ✓ |
| 8 | 1000 | 1 | 20 | 2 | ✗ |
| 16 | 10000 | 1 | 100 | 1 | ✓ |
| 32 | 100000 | 1 | 200 | 2 | ✗ |
| 64 | 1000000 | 1 | 1000 | 1 | ✓ |
| 128 | 10000000 | 1 | 2000 | 2 | ✗ |
| 256 | 100000000 | 1 | 10000 | 1 | ✓ |
| 512 | 1000000000 | 1 | 20000 | 2 | ✗ |

**Valid from Case 1:** $\{1, 4, 16, 64, 256\}$

### Case $a=2$: $s_2(n)=2, s_4(n)=4$

Numbers with exactly two '1' bits: $n = 2^i + 2^j$ where $i > j \geq 0$

Testing systematically (checking $s_4(n) = 4$):

| $n$ | Binary | $s_2(n)$ | Quaternary | $s_4(n)$ | Valid? |
|-----|--------|----------|-----------|----------|--------|
| 3 | 11 | 2 | 3 | 3 | ✗ |
| 5 | 101 | 2 | 11 | 2 | ✗ |
| 6 | 110 | 2 | 12 | 3 | ✗ |
| 9 | 1001 | 2 | 21 | 3 | ✗ |
| 10 | 1010 | 2 | 22 | 4 | ✓ |
| 12 | 1100 | 2 | 30 | 3 | ✗ |
| 17 | 10001 | 2 | 101 | 2 | ✗ |
| 18 | 10010 | 2 | 102 | 3 | ✗ |
| 20 | 10100 | 2 | 110 | 2 | ✗ |
| 24 | 11000 | 2 | 120 | 3 | ✗ |
| 33 | 100001 | 2 | 201 | 3 | ✗ |
| 34 | 100010 | 2 | 202 | 4 | ✓ |
| 36 | 100100 | 2 | 210 | 3 | ✗ |
| 40 | 101000 | 2 | 220 | 4 | ✓ |
| 48 | 110000 | 2 | 300 | 3 | ✗ |
| 65 | 1000001 | 2 | 1001 | 2 | ✗ |
| 66 | 1000010 | 2 | 1002 | 3 | ✗ |
| 68 | 1000100 | 2 | 1010 | 2 | ✗ |
| 72 | 1001000 | 2 | 1020 | 3 | ✗ |
| 80 | 1010000 | 2 | 1100 | 2 | ✗ |
| 96 | 1100000 | 2 | 1200 | 3 | ✗ |
| 129 | 10000001 | 2 | 2001 | 3 | ✗ |
| 130 | 10000010 | 2 | 2002 | 4 | ✓ |
| 132 | 10000100 | 2 | 2010
