model_alias,canonical_model,variant,sample,task_id,valid_call,field_confusion,digest_in_wrong_slot,missing,duplicate,wrong_tool,schema_invalid,omitted_expected_fields
haiku,claude-haiku-4-5,compound,1,declare-schema,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,compound,1,resolve-program,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,compound,1,emit-to-lane,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,compound,1,join-cell-contribution,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,compound,1,fold-at-anchor,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,compound,1,decide-register,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,compound,1,trigger-head-position,true,true,true,false,false,false,false,1
haiku,claude-haiku-4-5,compound,1,spawn-child-writ,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,compound,2,declare-schema,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,compound,2,resolve-program,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,compound,2,emit-to-lane,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,compound,2,join-cell-contribution,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,compound,2,fold-at-anchor,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,compound,2,decide-register,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,compound,2,trigger-head-position,true,true,true,false,false,false,false,1
haiku,claude-haiku-4-5,compound,2,spawn-child-writ,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,compound,3,declare-schema,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,compound,3,resolve-program,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,compound,3,emit-to-lane,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,compound,3,join-cell-contribution,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,compound,3,fold-at-anchor,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,compound,3,decide-register,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,compound,3,trigger-head-position,true,true,true,false,false,false,false,1
haiku,claude-haiku-4-5,compound,3,spawn-child-writ,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,compound,4,declare-schema,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,compound,4,resolve-program,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,compound,4,emit-to-lane,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,compound,4,join-cell-contribution,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,compound,4,fold-at-anchor,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,compound,4,decide-register,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,compound,4,trigger-head-position,true,true,true,false,false,false,false,1
haiku,claude-haiku-4-5,compound,4,spawn-child-writ,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,compound,5,declare-schema,true,true,true,false,false,false,false,1
haiku,claude-haiku-4-5,compound,5,resolve-program,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,compound,5,emit-to-lane,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,compound,5,join-cell-contribution,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,compound,5,fold-at-anchor,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,compound,5,decide-register,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,compound,5,trigger-head-position,true,true,true,false,false,false,false,1
haiku,claude-haiku-4-5,compound,5,spawn-child-writ,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,bare,1,declare-schema,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,bare,1,resolve-program,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,bare,1,emit-to-lane,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,bare,1,join-cell-contribution,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,bare,1,fold-at-anchor,true,false,false,false,false,false,false,0
haiku,claude-haiku-4-5,bare,1,decide-register,true,false,false,false,false,false,false,0
